Unit 0 -> (tensor(0.6929, device='cuda:0', dtype=torch.float16), 1.2061767578125)
Unit 24 -> (tensor(0.5195, device='cuda:0', dtype=torch.float16), 0.29736328125)
Unit 25 -> (tensor(0.4907, device='cuda:0', dtype=torch.float16), 1.53955078125)
Unit 26 -> (tensor(0.5649, device='cuda:0', dtype=torch.float16), 0.09619140625)
Unit 27 -> (tensor(0.4995, device='cuda:0', dtype=torch.float16), 1.673828125)
Unit 28 -> (tensor(0.7344, device='cuda:0', dtype=torch.float16), 1.35693359375)
Unit 29 -> (tensor(0.6650, device='cuda:0', dtype=torch.float16), 0.962188720703125)
Unit 30 -> (tensor(0.7305, device='cuda:0', dtype=torch.float16), 0.7841796875)
Unit 31 -> (tensor(0.8662, device='cuda:0', dtype=torch.float16), 0.06494140625)
Unit 32 -> (tensor(0.9238, device='cuda:0', dtype=torch.float16), 0.29638671875)
Unit 33 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 0.960205078125)
Unit 34 -> (tensor(0.5659, device='cuda:0', dtype=torch.float16), 0.119140625)
Unit 35 -> (tensor(0.4636, device='cuda:0', dtype=torch.float16), 1.8828125)
Unit 36 -> (tensor(0.4800, device='cuda:0', dtype=torch.float16), 1.7626953125)
Unit 37 -> (tensor(0.8320, device='cuda:0', dtype=torch.float16), 0.7794189453125)
Unit 38 -> (tensor(0.5693, device='cuda:0', dtype=torch.float16), 1.76416015625)
Unit 39 -> (tensor(0.3433, device='cuda:0', dtype=torch.float16), 0.64697265625)
Unit 40 -> (tensor(0.7759, device='cuda:0', dtype=torch.float16), 0.03125)
Unit 41 -> (tensor(0.8018, device='cuda:0', dtype=torch.float16), 1.68896484375)
Unit 42 -> (tensor(0.5698, device='cuda:0', dtype=torch.float16), 1.204833984375)
Unit 43 -> (tensor(0.6836, device='cuda:0', dtype=torch.float16), 0.91229248046875)
Unit 44 -> (tensor(0.4688, device='cuda:0', dtype=torch.float16), 0.8658447265625)
Unit 45 -> (tensor(0.7461, device='cuda:0', dtype=torch.float16), 1.5146484375)
Unit 46 -> (tensor(0.6143, device='cuda:0', dtype=torch.float16), 0.0712890625)
Unit 47 -> (tensor(0.7573, device='cuda:0', dtype=torch.float16), 0.99971604347229)
Unit 48 -> (tensor(0.8989, device='cuda:0', dtype=torch.float16), 0.10546875)
Unit 49 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 0.48193359375)
Unit 50 -> (tensor(0.5688, device='cuda:0', dtype=torch.float16), 1.85498046875)
Unit 51 -> (tensor(0.5400, device='cuda:0', dtype=torch.float16), 0.2041015625)
Unit 52 -> (tensor(0.6123, device='cuda:0', dtype=torch.float16), 0.03271484375)
Unit 53 -> (tensor(0.7896, device='cuda:0', dtype=torch.float16), 0.201171875)
Unit 54 -> (tensor(0.8848, device='cuda:0', dtype=torch.float16), 1.70361328125)
Unit 55 -> (tensor(0.8926, device='cuda:0', dtype=torch.float16), 1.8681640625)
Unit 56 -> (tensor(0.6094, device='cuda:0', dtype=torch.float16), 1.93408203125)
Unit 57 -> (tensor(0.7139, device='cuda:0', dtype=torch.float16), 0.95880126953125)
Unit 58 -> (tensor(0.6562, device='cuda:0', dtype=torch.float16), 0.13330078125)
Unit 59 -> (tensor(0.8726, device='cuda:0', dtype=torch.float16), 1.921875)
Unit 60 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.18994140625)
Unit 61 -> (tensor(0.8062, device='cuda:0', dtype=torch.float16), 1.0038070678710938)
Unit 62 -> (tensor(0.8892, device='cuda:0', dtype=torch.float16), 1.9365234375)
Unit 63 -> (tensor(0.5791, device='cuda:0', dtype=torch.float16), 1.939453125)
Unit 64 -> (tensor(0.6616, device='cuda:0', dtype=torch.float16), 0.8408203125)
Unit 65 -> (tensor(0.6475, device='cuda:0', dtype=torch.float16), 1.34228515625)
Unit 66 -> (tensor(0.5073, device='cuda:0', dtype=torch.float16), 0.3134765625)
Unit 67 -> (tensor(0.4197, device='cuda:0', dtype=torch.float16), 0.86962890625)
Unit 68 -> (tensor(0.4180, device='cuda:0', dtype=torch.float16), 1.65185546875)
Unit 69 -> (tensor(0.6758, device='cuda:0', dtype=torch.float16), 0.068359375)
Unit 70 -> (tensor(0.3298, device='cuda:0', dtype=torch.float16), 1.625)
Unit 71 -> (tensor(0.9458, device='cuda:0', dtype=torch.float16), 1.478759765625)
Unit 72 -> (tensor(0.8105, device='cuda:0', dtype=torch.float16), 1.86767578125)
Unit 73 -> (tensor(0.8345, device='cuda:0', dtype=torch.float16), 1.80322265625)
Unit 74 -> (tensor(0.9790, device='cuda:0', dtype=torch.float16), 0.9254150390625)
Unit 75 -> (tensor(0.8091, device='cuda:0', dtype=torch.float16), 0.20849609375)
Unit 76 -> (tensor(0.5972, device='cuda:0', dtype=torch.float16), 1.634765625)
Unit 77 -> (tensor(0.5132, device='cuda:0', dtype=torch.float16), 0.8267822265625)
Unit 78 -> (tensor(0.9858, device='cuda:0', dtype=torch.float16), 0.45849609375)
Unit 79 -> (tensor(0.5610, device='cuda:0', dtype=torch.float16), 1.80859375)
Unit 80 -> (tensor(0.6396, device='cuda:0', dtype=torch.float16), 1.52294921875)
Unit 81 -> (tensor(0.6465, device='cuda:0', dtype=torch.float16), 0.05615234375)
Unit 82 -> (tensor(0.5327, device='cuda:0', dtype=torch.float16), 0.13427734375)
Unit 83 -> (tensor(0.9761, device='cuda:0', dtype=torch.float16), 1.042083740234375)
Unit 84 -> (tensor(0.8267, device='cuda:0', dtype=torch.float16), 0.39599609375)
Unit 85 -> (tensor(0.9307, device='cuda:0', dtype=torch.float16), 1.63818359375)
Unit 86 -> (tensor(0.4141, device='cuda:0', dtype=torch.float16), 0.47314453125)
Unit 87 -> (tensor(0.7441, device='cuda:0', dtype=torch.float16), 1.90673828125)
Unit 88 -> (tensor(0.5264, device='cuda:0', dtype=torch.float16), 0.87725830078125)
Unit 89 -> (tensor(0.9839, device='cuda:0', dtype=torch.float16), 0.59814453125)
Unit 90 -> (tensor(0.9038, device='cuda:0', dtype=torch.float16), 1.327392578125)
Unit 91 -> (tensor(0.8950, device='cuda:0', dtype=torch.float16), 0.618896484375)
Unit 92 -> (tensor(0.7100, device='cuda:0', dtype=torch.float16), 0.48828125)
Unit 93 -> (tensor(0.8232, device='cuda:0', dtype=torch.float16), 0.03857421875)
Unit 94 -> (tensor(0.4829, device='cuda:0', dtype=torch.float16), 0.3017578125)
Unit 95 -> (tensor(0.3872, device='cuda:0', dtype=torch.float16), 0.072265625)
Unit 96 -> (tensor(0.5190, device='cuda:0', dtype=torch.float16), 0.2333984375)
Unit 97 -> (tensor(0.7822, device='cuda:0', dtype=torch.float16), 0.06591796875)
Unit 98 -> (tensor(0.9141, device='cuda:0', dtype=torch.float16), 1.2685546875)
Unit 99 -> (tensor(0.5898, device='cuda:0', dtype=torch.float16), 0.42041015625)
Unit 100 -> (tensor(0.6045, device='cuda:0', dtype=torch.float16), 1.88232421875)
Unit 101 -> (tensor(0.6543, device='cuda:0', dtype=torch.float16), 0.50244140625)
Unit 102 -> (tensor(0.4541, device='cuda:0', dtype=torch.float16), 0.8394775390625)
Unit 103 -> (tensor(0.7173, device='cuda:0', dtype=torch.float16), 1.9599609375)
Unit 104 -> (tensor(0.7866, device='cuda:0', dtype=torch.float16), 1.054779052734375)
Unit 105 -> (tensor(0.7554, device='cuda:0', dtype=torch.float16), 0.955078125)
Unit 106 -> (tensor(0.7593, device='cuda:0', dtype=torch.float16), 0.12060546875)
Unit 107 -> (tensor(0.8335, device='cuda:0', dtype=torch.float16), 1.046234130859375)
Unit 108 -> (tensor(0.6782, device='cuda:0', dtype=torch.float16), 0.49609375)
Unit 109 -> (tensor(0.6143, device='cuda:0', dtype=torch.float16), 1.09808349609375)
Unit 110 -> (tensor(0.6133, device='cuda:0', dtype=torch.float16), 0.10302734375)
Unit 111 -> (tensor(0.4800, device='cuda:0', dtype=torch.float16), 0.04541015625)
Unit 112 -> (tensor(0.6279, device='cuda:0', dtype=torch.float16), 0.107421875)
Unit 113 -> (tensor(0.6812, device='cuda:0', dtype=torch.float16), 0.8465576171875)
Unit 114 -> (tensor(0.3669, device='cuda:0', dtype=torch.float16), 0.0390625)
Unit 115 -> (tensor(0.7559, device='cuda:0', dtype=torch.float16), 0.67626953125)
Unit 116 -> (tensor(0.9683, device='cuda:0', dtype=torch.float16), 0.68017578125)
Unit 117 -> (tensor(0.6450, device='cuda:0', dtype=torch.float16), 1.9296875)
Unit 118 -> (tensor(0.5796, device='cuda:0', dtype=torch.float16), 0.19091796875)
Unit 119 -> (tensor(0.6792, device='cuda:0', dtype=torch.float16), 0.10546875)
Unit 120 -> (tensor(0.8926, device='cuda:0', dtype=torch.float16), 0.13720703125)
Unit 121 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 1.2054443359375)
Unit 122 -> (tensor(0.7002, device='cuda:0', dtype=torch.float16), 1.9072265625)
Unit 123 -> (tensor(0.5962, device='cuda:0', dtype=torch.float16), 0.04345703125)
Unit 124 -> (tensor(0.8135, device='cuda:0', dtype=torch.float16), 1.343017578125)
Unit 125 -> (tensor(0.6387, device='cuda:0', dtype=torch.float16), 0.9877243041992188)
Unit 126 -> (tensor(0.8203, device='cuda:0', dtype=torch.float16), 0.044921875)
Unit 127 -> (tensor(0.9585, device='cuda:0', dtype=torch.float16), 0.964569091796875)
Unit 128 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 1.57177734375)
Unit 129 -> (tensor(0.7915, device='cuda:0', dtype=torch.float16), 0.30078125)
Unit 130 -> (tensor(0.6514, device='cuda:0', dtype=torch.float16), 0.07421875)
Unit 131 -> (tensor(0.4663, device='cuda:0', dtype=torch.float16), 1.927734375)
Unit 132 -> (tensor(0.8354, device='cuda:0', dtype=torch.float16), 0.21923828125)
Unit 133 -> (tensor(0.6479, device='cuda:0', dtype=torch.float16), 0.1552734375)
Unit 134 -> (tensor(0.8091, device='cuda:0', dtype=torch.float16), 0.13037109375)
Unit 135 -> (tensor(0.7524, device='cuda:0', dtype=torch.float16), 1.046539306640625)
Unit 136 -> (tensor(0.7188, device='cuda:0', dtype=torch.float16), 1.884765625)
Unit 137 -> (tensor(0.3809, device='cuda:0', dtype=torch.float16), 1.84765625)
Unit 138 -> (tensor(0.7598, device='cuda:0', dtype=torch.float16), 1.7705078125)
Unit 139 -> (tensor(0.5205, device='cuda:0', dtype=torch.float16), 1.04046630859375)
Unit 140 -> (tensor(0.7329, device='cuda:0', dtype=torch.float16), 1.98828125)
Unit 141 -> (tensor(0.7568, device='cuda:0', dtype=torch.float16), 1.191650390625)
Unit 142 -> (tensor(0.9639, device='cuda:0', dtype=torch.float16), 0.603759765625)
Unit 143 -> (tensor(0.6196, device='cuda:0', dtype=torch.float16), 0.171875)
Unit 144 -> (tensor(0.8164, device='cuda:0', dtype=torch.float16), 1.85888671875)
Unit 145 -> (tensor(0.8276, device='cuda:0', dtype=torch.float16), 1.6611328125)
Unit 146 -> (tensor(0.7710, device='cuda:0', dtype=torch.float16), 0.220703125)
Unit 147 -> (tensor(0.6069, device='cuda:0', dtype=torch.float16), 0.4765625)
Unit 148 -> (tensor(0.8574, device='cuda:0', dtype=torch.float16), 0.13330078125)
Unit 149 -> (tensor(0.5483, device='cuda:0', dtype=torch.float16), 1.85791015625)
Unit 150 -> (tensor(0.5298, device='cuda:0', dtype=torch.float16), 1.32177734375)
Unit 151 -> (tensor(0.8223, device='cuda:0', dtype=torch.float16), 0.142578125)
Unit 152 -> (tensor(0.8501, device='cuda:0', dtype=torch.float16), 0.068359375)
Unit 153 -> (tensor(0.5576, device='cuda:0', dtype=torch.float16), 0.605712890625)
Unit 154 -> (tensor(0.6479, device='cuda:0', dtype=torch.float16), 1.92236328125)
Unit 155 -> (tensor(0.8872, device='cuda:0', dtype=torch.float16), 0.6416015625)
Unit 156 -> (tensor(0.7725, device='cuda:0', dtype=torch.float16), 0.34619140625)
Unit 157 -> (tensor(0.6270, device='cuda:0', dtype=torch.float16), 0.109375)
Unit 158 -> (tensor(0.5332, device='cuda:0', dtype=torch.float16), 0.04150390625)
Unit 159 -> (tensor(0.9468, device='cuda:0', dtype=torch.float16), 0.162109375)
Unit 160 -> (tensor(0.8149, device='cuda:0', dtype=torch.float16), 1.87255859375)
Unit 161 -> (tensor(0.7593, device='cuda:0', dtype=torch.float16), 0.05078125)
Unit 162 -> (tensor(0.5537, device='cuda:0', dtype=torch.float16), 1.2294921875)
Unit 163 -> (tensor(0.8853, device='cuda:0', dtype=torch.float16), 1.83203125)
Unit 164 -> (tensor(0.7119, device='cuda:0', dtype=torch.float16), 1.8779296875)
Unit 165 -> (tensor(0.4736, device='cuda:0', dtype=torch.float16), 0.65576171875)
Unit 166 -> (tensor(0.7227, device='cuda:0', dtype=torch.float16), 1.8251953125)
Unit 167 -> (tensor(0.6118, device='cuda:0', dtype=torch.float16), 1.96630859375)
Unit 168 -> (tensor(0.8535, device='cuda:0', dtype=torch.float16), 0.2255859375)
Unit 169 -> (tensor(0.7031, device='cuda:0', dtype=torch.float16), 1.7353515625)
Unit 170 -> (tensor(0.8203, device='cuda:0', dtype=torch.float16), 0.06396484375)
Unit 171 -> (tensor(0.5776, device='cuda:0', dtype=torch.float16), 0.577392578125)
Unit 172 -> (tensor(0.5732, device='cuda:0', dtype=torch.float16), 1.93896484375)
Unit 173 -> (tensor(0.7642, device='cuda:0', dtype=torch.float16), 1.35888671875)
Unit 174 -> (tensor(0.5537, device='cuda:0', dtype=torch.float16), 1.8466796875)
Unit 175 -> (tensor(0.6235, device='cuda:0', dtype=torch.float16), 1.424560546875)
Unit 176 -> (tensor(0.6396, device='cuda:0', dtype=torch.float16), 0.554931640625)
Unit 177 -> (tensor(0.8701, device='cuda:0', dtype=torch.float16), 0.22021484375)
Unit 178 -> (tensor(0.8535, device='cuda:0', dtype=torch.float16), 1.252685546875)
Unit 179 -> (tensor(0.6030, device='cuda:0', dtype=torch.float16), 0.96490478515625)
Unit 180 -> (tensor(0.5679, device='cuda:0', dtype=torch.float16), 1.830078125)
Unit 181 -> (tensor(0.6929, device='cuda:0', dtype=torch.float16), 1.91845703125)
Unit 182 -> (tensor(0.8008, device='cuda:0', dtype=torch.float16), 1.576171875)
Unit 183 -> (tensor(0.4468, device='cuda:0', dtype=torch.float16), 0.11669921875)
Unit 184 -> (tensor(0.7720, device='cuda:0', dtype=torch.float16), 0.22021484375)
Unit 185 -> (tensor(0.6763, device='cuda:0', dtype=torch.float16), 1.919921875)
Unit 186 -> (tensor(0.4504, device='cuda:0', dtype=torch.float16), 1.65966796875)
Unit 187 -> (tensor(0.9678, device='cuda:0', dtype=torch.float16), 1.546875)
Unit 188 -> (tensor(0.4492, device='cuda:0', dtype=torch.float16), 1.82421875)
Unit 189 -> (tensor(0.8564, device='cuda:0', dtype=torch.float16), 1.8720703125)
Unit 190 -> (tensor(0.8247, device='cuda:0', dtype=torch.float16), 1.87158203125)
Unit 191 -> (tensor(0.8403, device='cuda:0', dtype=torch.float16), 0.06396484375)
Unit 192 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 1.32373046875)
Unit 193 -> (tensor(0.6138, device='cuda:0', dtype=torch.float16), 0.681396484375)
Unit 194 -> (tensor(0.8198, device='cuda:0', dtype=torch.float16), 1.26806640625)
Unit 195 -> (tensor(0.4624, device='cuda:0', dtype=torch.float16), 0.67578125)
Unit 196 -> (tensor(0.4868, device='cuda:0', dtype=torch.float16), 0.3173828125)
Unit 197 -> (tensor(0.8491, device='cuda:0', dtype=torch.float16), 0.11767578125)
Unit 198 -> (tensor(0.6499, device='cuda:0', dtype=torch.float16), 1.6142578125)
Unit 199 -> (tensor(0.6719, device='cuda:0', dtype=torch.float16), 1.2481689453125)
Unit 200 -> (tensor(0.7695, device='cuda:0', dtype=torch.float16), 0.91619873046875)
Unit 201 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 1.50439453125)
Unit 202 -> (tensor(0.9629, device='cuda:0', dtype=torch.float16), 0.876708984375)
Unit 203 -> (tensor(0.7192, device='cuda:0', dtype=torch.float16), 0.13916015625)
Unit 204 -> (tensor(0.6064, device='cuda:0', dtype=torch.float16), 0.04736328125)
Unit 205 -> (tensor(0.9287, device='cuda:0', dtype=torch.float16), 0.35888671875)
Unit 206 -> (tensor(0.4333, device='cuda:0', dtype=torch.float16), 1.5439453125)
Unit 207 -> (tensor(0.8950, device='cuda:0', dtype=torch.float16), 0.24267578125)
Unit 208 -> (tensor(0.6636, device='cuda:0', dtype=torch.float16), 1.6640625)
Unit 209 -> (tensor(0.7046, device='cuda:0', dtype=torch.float16), 0.02392578125)
Unit 210 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 1.197998046875)
Unit 211 -> (tensor(0.9458, device='cuda:0', dtype=torch.float16), 1.5947265625)
Unit 212 -> (tensor(0.5742, device='cuda:0', dtype=torch.float16), 1.287109375)
Unit 213 -> (tensor(0.9375, device='cuda:0', dtype=torch.float16), 0.547119140625)
Unit 214 -> (tensor(0.9067, device='cuda:0', dtype=torch.float16), 1.446533203125)
Unit 215 -> (tensor(0.4839, device='cuda:0', dtype=torch.float16), 1.91064453125)
Unit 216 -> (tensor(0.5635, device='cuda:0', dtype=torch.float16), 1.60107421875)
Unit 217 -> (tensor(0.6846, device='cuda:0', dtype=torch.float16), 0.693115234375)
Unit 218 -> (tensor(0.3948, device='cuda:0', dtype=torch.float16), 0.34814453125)
Unit 219 -> (tensor(0.8315, device='cuda:0', dtype=torch.float16), 1.86669921875)
Unit 220 -> (tensor(0.6938, device='cuda:0', dtype=torch.float16), 0.8031005859375)
Unit 221 -> (tensor(0.4148, device='cuda:0', dtype=torch.float16), 1.25830078125)
Unit 222 -> (tensor(0.3486, device='cuda:0', dtype=torch.float16), 1.54931640625)
Unit 223 -> (tensor(0.9585, device='cuda:0', dtype=torch.float16), 1.87451171875)
Unit 224 -> (tensor(0.4333, device='cuda:0', dtype=torch.float16), 1.83544921875)
Unit 225 -> (tensor(0.7266, device='cuda:0', dtype=torch.float16), 0.82568359375)
Unit 226 -> (tensor(0.9507, device='cuda:0', dtype=torch.float16), 0.96502685546875)
Unit 227 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 1.3447265625)
Unit 228 -> (tensor(0.4756, device='cuda:0', dtype=torch.float16), 1.6337890625)
Unit 229 -> (tensor(0.9600, device='cuda:0', dtype=torch.float16), 0.4072265625)
Unit 230 -> (tensor(0.9683, device='cuda:0', dtype=torch.float16), 1.53125)
Unit 231 -> (tensor(0.5635, device='cuda:0', dtype=torch.float16), 0.1142578125)
Unit 232 -> (tensor(0.5366, device='cuda:0', dtype=torch.float16), 1.2109375)
Unit 233 -> (tensor(0.5947, device='cuda:0', dtype=torch.float16), 1.8125)
Unit 234 -> (tensor(0.5767, device='cuda:0', dtype=torch.float16), 0.08447265625)
Unit 235 -> (tensor(0.6147, device='cuda:0', dtype=torch.float16), 1.93310546875)
Unit 236 -> (tensor(0.2908, device='cuda:0', dtype=torch.float16), 0.8084716796875)
Unit 237 -> (tensor(0.6304, device='cuda:0', dtype=torch.float16), 0.09619140625)
Unit 238 -> (tensor(0.8491, device='cuda:0', dtype=torch.float16), 1.92431640625)
Unit 239 -> (tensor(0.6953, device='cuda:0', dtype=torch.float16), 0.89617919921875)
Unit 240 -> (tensor(0.8540, device='cuda:0', dtype=torch.float16), 0.25927734375)
Unit 241 -> (tensor(0.7524, device='cuda:0', dtype=torch.float16), 0.1806640625)
Unit 242 -> (tensor(0.4695, device='cuda:0', dtype=torch.float16), 1.958984375)
Unit 243 -> (tensor(0.3792, device='cuda:0', dtype=torch.float16), 0.566162109375)
Unit 244 -> (tensor(0.6309, device='cuda:0', dtype=torch.float16), 1.90869140625)
Unit 245 -> (tensor(0.8804, device='cuda:0', dtype=torch.float16), 1.748046875)
Unit 246 -> (tensor(0.5874, device='cuda:0', dtype=torch.float16), 0.07861328125)
Unit 247 -> (tensor(0.9136, device='cuda:0', dtype=torch.float16), 1.91796875)
Unit 248 -> (tensor(0.8525, device='cuda:0', dtype=torch.float16), 1.1732177734375)
Unit 249 -> (tensor(0.8594, device='cuda:0', dtype=torch.float16), 0.33984375)
Unit 250 -> (tensor(0.5742, device='cuda:0', dtype=torch.float16), 0.8499755859375)
Unit 251 -> (tensor(0.8511, device='cuda:0', dtype=torch.float16), 1.057342529296875)
Unit 252 -> (tensor(0.7544, device='cuda:0', dtype=torch.float16), 1.376953125)
Unit 253 -> (tensor(0.7510, device='cuda:0', dtype=torch.float16), 0.92236328125)
Unit 254 -> (tensor(0.8267, device='cuda:0', dtype=torch.float16), 0.21923828125)
Unit 255 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 1.76025390625)
Unit 256 -> (tensor(0.7300, device='cuda:0', dtype=torch.float16), 0.781005859375)
Unit 257 -> (tensor(0.9395, device='cuda:0', dtype=torch.float16), 0.8507080078125)
Unit 258 -> (tensor(0.7559, device='cuda:0', dtype=torch.float16), 1.81640625)
Unit 259 -> (tensor(0.8867, device='cuda:0', dtype=torch.float16), 1.050933837890625)
Unit 260 -> (tensor(0.6182, device='cuda:0', dtype=torch.float16), 0.753662109375)
Unit 261 -> (tensor(0.6626, device='cuda:0', dtype=torch.float16), 0.9014892578125)
Unit 262 -> (tensor(0.6367, device='cuda:0', dtype=torch.float16), 1.88525390625)
Unit 263 -> (tensor(0.4849, device='cuda:0', dtype=torch.float16), 1.90380859375)
Unit 264 -> (tensor(0.4131, device='cuda:0', dtype=torch.float16), 1.63916015625)
Unit 265 -> (tensor(0.6123, device='cuda:0', dtype=torch.float16), 1.5205078125)
Unit 266 -> (tensor(0.8574, device='cuda:0', dtype=torch.float16), 1.357177734375)
Unit 267 -> (tensor(0.6562, device='cuda:0', dtype=torch.float16), 1.82470703125)
Unit 268 -> (tensor(0.4546, device='cuda:0', dtype=torch.float16), 1.0231170654296875)
Unit 269 -> (tensor(0.8286, device='cuda:0', dtype=torch.float16), 0.515869140625)
Unit 270 -> (tensor(0.7744, device='cuda:0', dtype=torch.float16), 0.09228515625)
Unit 271 -> (tensor(0.6074, device='cuda:0', dtype=torch.float16), 1.10791015625)
Unit 272 -> (tensor(0.9131, device='cuda:0', dtype=torch.float16), 0.1533203125)
Unit 273 -> (tensor(0.6470, device='cuda:0', dtype=torch.float16), 0.818359375)
Unit 274 -> (tensor(0.5132, device='cuda:0', dtype=torch.float16), 0.8028564453125)
Unit 275 -> (tensor(0.3809, device='cuda:0', dtype=torch.float16), 1.9189453125)
Unit 276 -> (tensor(0.6411, device='cuda:0', dtype=torch.float16), 1.50830078125)
Unit 277 -> (tensor(0.3020, device='cuda:0', dtype=torch.float16), 0.1328125)
Unit 278 -> (tensor(0.5879, device='cuda:0', dtype=torch.float16), 1.95751953125)
Unit 279 -> (tensor(0.4810, device='cuda:0', dtype=torch.float16), 1.421630859375)
Unit 280 -> (tensor(0.7305, device='cuda:0', dtype=torch.float16), 0.840576171875)
Unit 281 -> (tensor(0.9800, device='cuda:0', dtype=torch.float16), 0.56103515625)
Unit 282 -> (tensor(0.7671, device='cuda:0', dtype=torch.float16), 1.07147216796875)
Unit 283 -> (tensor(0.8359, device='cuda:0', dtype=torch.float16), 0.1669921875)
Unit 284 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 1.6201171875)
Unit 285 -> (tensor(0.5425, device='cuda:0', dtype=torch.float16), 1.46484375)
Unit 286 -> (tensor(0.5488, device='cuda:0', dtype=torch.float16), 0.02392578125)
Unit 287 -> (tensor(0.9116, device='cuda:0', dtype=torch.float16), 0.2607421875)
Unit 288 -> (tensor(0.6445, device='cuda:0', dtype=torch.float16), 0.7818603515625)
Unit 289 -> (tensor(0.7271, device='cuda:0', dtype=torch.float16), 1.88134765625)
Unit 290 -> (tensor(0.6606, device='cuda:0', dtype=torch.float16), 0.564697265625)
Unit 291 -> (tensor(0.8872, device='cuda:0', dtype=torch.float16), 1.76806640625)
Unit 292 -> (tensor(0.6655, device='cuda:0', dtype=torch.float16), 1.48681640625)
Unit 293 -> (tensor(0.6426, device='cuda:0', dtype=torch.float16), 0.21484375)
Unit 294 -> (tensor(0.6519, device='cuda:0', dtype=torch.float16), 1.055938720703125)
Unit 295 -> (tensor(0.9272, device='cuda:0', dtype=torch.float16), 1.77197265625)
Unit 296 -> (tensor(0.6509, device='cuda:0', dtype=torch.float16), 0.0986328125)
Unit 297 -> (tensor(0.8535, device='cuda:0', dtype=torch.float16), 1.62109375)
Unit 298 -> (tensor(0.6538, device='cuda:0', dtype=torch.float16), 1.8134765625)
Unit 299 -> (tensor(0.8506, device='cuda:0', dtype=torch.float16), 0.9056396484375)
Unit 300 -> (tensor(0.4851, device='cuda:0', dtype=torch.float16), 0.3935546875)
Unit 301 -> (tensor(0.8945, device='cuda:0', dtype=torch.float16), 1.7919921875)
Unit 302 -> (tensor(0.5415, device='cuda:0', dtype=torch.float16), 1.96484375)
Unit 303 -> (tensor(0.6216, device='cuda:0', dtype=torch.float16), 1.91796875)
Unit 304 -> (tensor(0.4524, device='cuda:0', dtype=torch.float16), 0.585205078125)
Unit 305 -> (tensor(0.5732, device='cuda:0', dtype=torch.float16), 0.9129638671875)
Unit 306 -> (tensor(0.9111, device='cuda:0', dtype=torch.float16), 0.05419921875)
Unit 307 -> (tensor(0.5234, device='cuda:0', dtype=torch.float16), 0.02978515625)
Unit 308 -> (tensor(0.6289, device='cuda:0', dtype=torch.float16), 0.7935791015625)
Unit 309 -> (tensor(0.4055, device='cuda:0', dtype=torch.float16), 1.83447265625)
